Year,Return,Interest,Account,Surrender,Credit,Benefit,Fee,Income
0,0,0,100000,100000,0,100000,0,0
1,0.0446,0.0446,103250,94789,0.1,110000,0.011,0
2,0.0706,0.0706,109219,101261,0.1,120000,0.011,0
3,-0.0154,0,107789,100909,0.1,130000,0.011,0
4,0.3411,0.09,115951,109606,0.1,140000,0.011,0
5,0.2026,0.09,114986.59,114986.59,0.1,150000,0.011,9750
6,0.3101,0.09,113935.3831,113935.3831,0,150000,0.011,9750
7,0.2667,0.09,112789.5676,112789.5676,0,150000,0.011,9750
8,0.1953,0.09,111540.6287,111540.6287,0,150000,0.011,9750
9,-0.1014,0,100140.6287,100140.6287,0,150000,0.011,9750
10,-0.1304,0,88740.62866,88740.62866,0,150000,0.011,9750
11,-0.2337,0,77340.62866,77340.62866,0,150000,0.011,9750
12,0.2638,0.09,72901.28524,72901.28524,0,150000,0.011,9750
13,0.0899,0.0899,68055.11078,68055.11078,0,150000,0.011,9750
14,0.03,0.03,58696.76411,58696.76411,0,150000,0.011,9750
15,0.1362,0.09,52579.47288,52579.47288,0,150000,0.011,9750
16,0.0353,0.0353,43035.52827,43035.52827,0,150000,0.011,9750
17,-0.3849,0,31635.52827,31635.52827,0,150000,0.011,9750
18,0.2345,0.09,23082.72581,23082.72581,0,150000,0.011,9750
19,0.1278,0.09,13760.17114,13760.17114,0,150000,0.011,9750
20,0,0,2360.171137,2360.171137,0,150000,0.011,9750
21,0.1341,0.09,0,0,0,150000,0.011,9750
22,0.296,0.09,0,0,0,150000,0.011,9750
23,0.1139,0.09,0,0,0,150000,0.011,9750
24,-0.0073,0,0,0,0,150000,0.011,9750
25,0.0954,0.09,0,0,0,150000,0.011,9750
26,0.1942,0.09,0,0,0,150000,0.011,9750
27,-0.0624,0,0,0,0,150000,0.011,9750
28,0.2888,0.09,0,0,0,150000,0.011,9750
29,0.1626,0.09,0,0,0,150000,0.011,9750
30,0.2689,0.09,0,0,0,150000,0.011,9750