Year,Age,Interest,Account,Surrender,MVA,Credit,Benefit,Income
0,60,0,100000,100000,100000,0,135000,0
1,61,0.06,106000,95400,88856,0.09,147150,0
2,62,0.06,112360,101124,90234,0.09,160394,0
3,63,0,112360,102529,91632,0,160394,0
4,64,0.06,119102,110169,93052,0.09,174829,0
5,65,0.06,126248,118357,94495,0.09,190564,0
6,66,0,126248,119935,95959,0,190564,0
7,67,0.06,133823,128804,97447,0.09,207714,0
8,68,0.06,141852,138306,98957,0.09,226409,0
9,69,0.06,150363,148483,100491,0.09,246785,0
10,70,0,150363,150363,102049,0,246785,0
11,71,0.06,144997,144997,89847,0.09,244714,13573
12,72,0.06,138015,138015,76215,0.09,239521,14795
13,73,0,121888,121888,61020,0,211535,16126
14,74,0.06,112108,112108,45590,0.09,200067,16126
15,75,0.06,100202,100202,28447,0.09,183881,17578
16,76,0,81042,81042,9431,0,148721,19160
17,77,0.06,65595,65595,0,0.09,123781,19160
18,78,0.06,47394,47394,0,0.09,91966,20884
19,79,0.06,26108,26108,0,0.09,52096,22764
20,80,0,1296,1296,0,0,2586,24812
21,81,0.06,0,0,0,0.09,0,24812
22,82,0.06,0,0,0,0.09,0,27045
23,83,0,0,0,0,0,0,29480
24,84,0.06,0,0,0,0.09,0,29480
25,85,0.06,0,0,0,0.09,0,32133
26,86,0,0,0,0,0,0,35025
27,87,0.06,0,0,0,0.09,0,35025
28,88,0.06,0,0,0,0.09,0,38177
29,89,0.06,0,0,0,0.09,0,41613
30,90,0,0,0,0,0,0,45358