Fee,Age,Year,Interest,Account,Credit,Benefit,Income
0.01,60,0,0,100000,0.1,110000,0
0.01,61,1,0.06,104834,0.1,120000,0
0.01,62,2,0.07,110888,0.1,130000,0
0.01,63,3,0.12,122739,0.1,140000,0
0.01,64,4,0.15,139540,0.1,150000,0
0.01,65,5,0.18,162887,0.1,162887,10588
0.01,66,6,0.01,152177,0,162887,10588
0.01,67,7,0.01,141360,0,162887,10588
0.01,68,8,0.01,130435,0,162887,10588
0.01,69,9,0.06,125312,0,162887,10588
0.01,70,10,0.07,121012,0,162887,10588
0.01,71,11,0.12,121851,0,162887,10588
0.01,72,12,0.15,126079,0,162887,10588
0.01,73,13,0.18,134358,0,162887,10588
0.01,74,14,0.01,123363,0,162887,10588
0.01,75,15,0.01,112258,0,162887,10588
0.01,76,16,0.01,101042,0,162887,10588
0.01,77,17,0.06,94155,0,162887,10588
0.01,78,18,0.07,87674,0,162887,10588
0.01,79,19,0.12,84513,0,162887,10588
0.01,80,20,0.15,83140,0,162887,10588
0.01,81,21,0.18,83690,0,162887,10588
0.01,82,22,0.01,72188,0,162887,10588
0.01,83,23,0.01,60572,0,162887,10588
0.01,84,24,0.01,48839,0,162887,10588
0.01,85,25,0.06,38819,0,162887,10588
0.01,86,26,0.07,28465,0,162887,10588
0.01,87,27,0.12,18198,0,162887,10588
0.01,88,28,0.15,6879,0,162887,10588
0.01,89,29,0.18,0,0,162887,10588
0.01,90,30,0.01,0,0,162887,10588
0.01,91,31,0.01,0,0,162887,10588
0.01,92,32,0.01,0,0,162887,10588