Growth_Function,Income_Function,Year,Age,Interest,AccountCredit,Account,Cash,Surrender,Credit,Benefit,Income
alzmult,alzmult,0,60,0,0,100000,100000,100000,0,132000,0
alzmult,alzmult,1,61,0.06,0.06,106000,96142,88856,0.09,143880,0
alzmult,alzmult,2,62,0.06,0.06,112360,103864,90234,0.09,156829,0
alzmult,alzmult,3,63,0,0,112360,104888,91632,0,156829,0
alzmult,alzmult,4,64,0.06,0.06,119102,112283,93052,0.09,170944,0
alzmult,alzmult,5,65,0.06,0.06,119000,112918,87551,0.09,175631,6838
alzmult,alzmult,6,66,0,0,111547,106969,81339,0,164631,7453
alzmult,alzmult,7,67,0.06,0.06,110339,106944,75031,0.09,167458,7453
alzmult,alzmult,8,68,0.06,0.06,108348,106112,67945,0.09,169090,8124
alzmult,alzmult,9,69,0.06,0.06,105462,104367,60005,0.09,169245,8855
alzmult,alzmult,10,70,0,0,95810,95810,51134,0,153756,9652
alzmult,alzmult,11,71,0.06,0.06,91328,91328,42125,0.09,150710,9652
alzmult,alzmult,12,72,0.06,0.06,85656,85656,32094,0.09,145350,10521
alzmult,alzmult,13,73,0,0,74188,74188,20946,0,125890,11468
alzmult,alzmult,14,74,0.06,0.06,66484,66484,9625,0.09,116010,11468
alzmult,alzmult,15,75,0.06,0.06,57223,57223,0,0.09,102676,12500
alzmult,alzmult,16,76,0,0,43598,43598,0,0,78229,13625
alzmult,alzmult,17,77,0.06,0.06,31772,31772,0,0.09,58623,13625
alzmult,alzmult,18,78,0.06,0.06,17936,17936,0,0.09,34031,14851
alzmult,alzmult,19,79,0.06,0.06,1854,1854,0,0.09,3617,16187
alzmult,alzmult,20,80,0,0,0,0,0,0,0,17644
alzmult,alzmult,21,81,0.06,0.06,0,0,0,0.09,0,17644
alzmult,alzmult,22,82,0.06,0.06,0,0,0,0.09,0,19232
alzmult,alzmult,23,83,0,0,0,0,0,0,0,20963
alzmult,alzmult,24,84,0.06,0.06,0,0,0,0.09,0,20963
alzmult,alzmult,25,85,0.06,0.06,0,0,0,0.09,0,22850
alzmult,alzmult,26,86,0,0,0,0,0,0,0,24906
alzmult,alzmult,27,87,0.06,0.06,0,0,0,0.09,0,24906
alzmult,alzmult,28,88,0.06,0.06,0,0,0,0.09,0,27148
alzmult,alzmult,29,89,0.06,0.06,0,0,0,0.09,0,29591
alzmult,alzmult,30,90,0,0,0,0,0,0,0,32255