Year,Age,Returns,Interest,Credit,Account,Cash,Surrender,Withdrawal,Income,Death
0,60,0,0,0,100000,100000,100000,0,0,0
1,61,0.1,0.065,0.0975,108323,97491,87545,0.04,0,108323
2,62,0.1,0.065,0.0975,117339,105605,87482,0.044,0,117339
3,63,-0.1,0,0,115814,105680,87300,0.048,0,115814
4,64,0.1,0.065,0.0975,125453,116044,87135,0.052,0,125453
5,65,0.1,0.065,0.065,124389,116615,79707,0.056,7025,124389
6,66,-0.1,0,0,115290,109525,71714,0,7482,115290
7,67,0.1,0.065,0.065,113219,108973,63716,0,7482,113219
8,68,0.1,0.065,0.065,110524,107761,55127,0,7968,110524
9,69,0.1,0.065,0.065,107140,105801,45915,0,8486,107140
10,70,-0.1,0,0,96710,96710,36044,0,9038,96710
11,71,0.1,0.065,0.065,92031,92031,26157,0,9038,92031
12,72,0.1,0.065,0.065,86488,86488,15582,0,9625,86488
13,73,-0.1,0,0,75113,75113,4280,0,10251,75113
14,74,0.1,0.065,0.065,68038,68038,0,0,10251,68038
15,75,0.1,0.065,0.065,59891,59891,0,0,10917,59891
16,76,-0.1,0,0,47486,47486,0,0,11627,47486
17,77,0.1,0.065,0.065,37532,37532,0,0,11627,37532
18,78,0.1,0.065,0.065,26265,26265,0,0,12383,26265
19,79,0.1,0.065,0.065,13563,13563,0,0,13188,13563
20,80,-0.1,0,0,0,0,0,0,14045,0
21,81,0.1,0.065,0.065,0,0,0,0,14045,0
22,82,0.1,0.065,0.065,0,0,0,0,14958,0
23,83,-0.1,0,0,0,0,0,0,15930,0
24,84,0.1,0.065,0.065,0,0,0,0,15930,0
25,85,0.1,0.065,0.065,0,0,0,0,16965,0
26,86,-0.1,0,0,0,0,0,0,18068,0
27,87,0.1,0.065,0.065,0,0,0,0,18068,0
28,88,0.1,0.065,0.065,0,0,0,0,19243,0
29,89,0.1,0.065,0.065,0,0,0,0,20493,0
30,90,-0.1,0,0,0,0,0,0,21825,0