Year,Age,Returns,Interest,Account,Cash,Surrender,Withdrawal,Income,Death
0,60,0,0,100000,100000,100000,0,0,100000
1,61,0.1,0.08,106650,98118,87596,0.063,0,106650
2,62,0.1,0.08,113742,105780,87609,0.0685,0,113742
3,63,-0.1,0,112320,105581,87533,0.074,0,112320
4,64,0.1,0.08,119790,113800,87474,0.0795,0,119790
5,65,0.1,0.08,116759,112089,76980,0.085,10182,116759
6,66,-0.1,0,105117,101964,66362,0,10182,105117
7,67,0.1,0.08,101111,101111,55726,0,10182,101111
8,68,0.1,0.08,96838,96838,44975,0,10182,96838
9,69,0.1,0.08,92281,92281,34112,0,10182,92281
10,70,-0.1,0,80946,80946,23137,0,10182,80946
11,71,0.1,0.08,75332,75332,12136,0,10182,75332
12,72,0.1,0.08,69345,69345,1034,0,10182,69345
13,73,-0.1,0,58296,58296,0,0,10182,58296
14,74,0.1,0.08,51176,51176,0,0,10182,51176
15,75,0.1,0.08,43582,43582,0,0,10182,43582
16,76,-0.1,0,32855,32855,0,0,10182,32855
17,77,0.1,0.08,24043,24043,0,0,10182,24043
18,78,0.1,0.08,14646,14646,0,0,10182,14646
19,79,0.1,0.08,4623,4623,0,0,10182,4623
20,80,-0.1,0,0,0,0,0,10182,0
21,81,0.1,0.08,0,0,0,0,10182,0
22,82,0.1,0.08,0,0,0,0,10182,0
23,83,-0.1,0,0,0,0,0,10182,0
24,84,0.1,0.08,0,0,0,0,10182,0
25,85,0.1,0.08,0,0,0,0,10182,0
26,86,-0.1,0,0,0,0,0,10182,0
27,87,0.1,0.08,0,0,0,0,10182,0
28,88,0.1,0.08,0,0,0,0,10182,0
29,89,0.1,0.08,0,0,0,0,10182,0
30,90,-0.1,0,0,0,0,0,10182,0