Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Benefit,Cash,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,100000,100000,0,100000
1,61,0.24,0.18,0.9,0.05,116500,116500,104850,87545,0,116500
2,62,0.06,0.06,0.9,0.05,121743,121743,109568,87482,0,121743
3,63,-0.23,-0.13,0.91,0.05,104090,121743,94722,87482,0,104090
4,64,-0.07,0,0.92,0.05,102264,121743,94083,87482,0,102264
5,65,0.09,0.09,0.94,0.05,109641,121743,103063,87482,6087,109641
6,66,0.24,0.18,0.97,0.05,121463,121743,117820,87482,6087,121463
7,67,0.06,0.06,1,0.05,120838,121743,120838,87482,6087,120838
8,68,-0.23,-0.13,1,0.05,97216,121743,97216,87482,6087,97216
9,69,-0.07,0,1,0.05,89303,121743,89303,87482,6087,89303
10,70,0.09,0.09,1,0.05,89427,121743,89427,87482,6087,89427
11,71,0.24,0.18,1,0.05,97610,121743,97610,87482,6087,97610
12,72,0.06,0.06,1,0.05,95553,121743,95553,87482,6087,95553
13,73,-0.23,-0.13,1,0.05,75218,121743,75218,87482,6087,75218
14,74,-0.07,0,1,0.05,67305,121743,67305,87482,6087,67305
15,75,0.09,0.09,1,0.05,65449,121743,65449,87482,6087,65449
16,76,0.24,0.18,1,0.05,69317,121743,69317,87482,6087,69317
17,77,0.06,0.06,1,0.05,65562,121743,65562,87482,6087,65562
18,78,-0.23,-0.13,1,0.05,49126,121743,49126,87482,6087,49126
19,79,-0.07,0,1,0.05,41213,121743,41213,87482,6087,41213
20,80,0.09,0.09,1,0.05,37009,121743,37009,87482,6087,37009
21,81,0.24,0.18,1,0.05,35757,121743,35757,87482,6087,35757
22,82,0.06,0.06,1,0.05,29989,121743,29989,87482,6087,29989
23,83,-0.23,-0.13,1,0.05,18177,121743,18177,87482,6087,18177
24,84,-0.07,0,1,0.05,10264,121743,10264,87482,6087,10264
25,85,0.09,0.09,1,0.05,3274,121743,3274,87482,6087,3274
26,86,0.24,0.18,1,0.05,0,121743,0,87482,6087,0
27,87,0.06,0.06,1,0.05,0,121743,0,87482,6087,0
28,88,-0.23,-0.13,1,0.05,0,121743,0,87482,6087,0
29,89,-0.07,0,1,0.05,0,121743,0,87482,6087,0
30,90,0.09,0.09,1,0.05,0,121743,0,87482,6087,0