Year,Returns,Account,Surrender,Bonus,Benefit,Income
0,0,100000,91500,100000,100000,0
1,0.1503,110432,102150,110432,110432,0
2,0.188,126064,117870,126064,126064,0
3,0.0719,129455,122335,126064,132367,0
4,0.0012,123864,117671,126064,138670,0
5,0.0908,121971,117092,138670,131737,6934
6,0.1626,128102,125540,138670,124803,6934
7,-0.0465,110059,110059,138670,117870,6934
8,0.2119,119633,119633,138670,110936,6934
9,0.1455,123560,123560,138670,104003,6934
10,0.1197,124970,124970,138670,97069,6934
11,-0.1366,96694,96694,138670,90136,6934
12,0.1503,98441,98441,138670,83202,6934
13,0.188,103779,103779,138670,76269,6934
14,0.0719,98907,98907,138670,69335,6934
15,0.0012,87460,87460,138670,62402,6934
16,0.0908,83427,83427,138670,55468,6934
17,0.1626,84523,84523,138670,48535,6934
18,-0.0465,69902,69902,138670,41601,6934
19,0.2119,72251,72251,138670,34668,6934
20,0.1455,70801,70801,138670,27734,6934
21,0.1197,67583,67583,138670,20801,6934
22,-0.1366,48983,48983,138670,13867,6934
23,0.1503,45086,45086,138670,6934,6934
24,0.188,42100,42100,138670,0,6934
25,0.0719,34767,34767,138670,0,6934
26,0.0012,25296,25296,138670,0,6934
27,0.0908,17607,17607,138670,0,6934
28,0.1626,10108,10108,138670,0,6934
29,-0.0465,1328,1328,138670,0,6934
30,0.2119,0,0,138670,0,6934