Year,Age,Returns,Interest,Schedule,Withdrawal,Rollup,Account,Benefit,Cash,Surrender,Income,Death Benefit
0,60,0,0,1,0,0,100000,100000,100000,100000,0,100000
1,61,0.24,0.18,0.9,0.05,0.05,116500,116500,104850,87545,0,116500
2,62,0.06,0.06,0.9,0.05,0.05,121743,121743,109568,87482,0,121743
3,63,-0.23,-0.13,0.91,0.05,0.05,104090,126743,94722,87482,0,104090
4,64,-0.07,0,0.92,0.05,0.05,102189,131743,94014,87482,0,102189
5,65,0.09,0.09,0.94,0.05,0.05,109410,136743,102845,87482,6837,109410
6,66,0.24,0.18,0.97,0.05,0,120215,136743,116609,87482,6837,120215
7,67,0.06,0.06,1,0.05,0,118540,136743,118540,87482,6837,118540
8,68,-0.23,-0.13,1,0.05,0,94241,136743,94241,87482,6837,94241
9,69,-0.07,0,1,0.05,0,85353,136743,85353,87482,6837,85353
10,70,0.09,0.09,1,0.05,0,84146,136743,84146,87482,6837,84146
11,71,0.24,0.18,1,0.05,0,90405,136743,90405,87482,6837,90405
12,72,0.06,0.06,1,0.05,0,86941,136743,86941,87482,6837,86941
13,73,-0.23,-0.13,1,0.05,0,66750,136743,66750,87482,6837,66750
14,74,-0.07,0,1,0.05,0,57862,136743,57862,87482,6837,57862
15,75,0.09,0.09,1,0.05,0,54181,136743,54181,87482,6837,54181
16,76,0.24,0.18,1,0.05,0,55045,136743,55045,87482,6837,55045
17,77,0.06,0.06,1,0.05,0,49460,136743,49460,87482,6837,49460
18,78,-0.23,-0.13,1,0.05,0,34142,136743,34142,87482,6837,34142
19,79,-0.07,0,1,0.05,0,25254,136743,25254,87482,6837,25254
20,80,0.09,0.09,1,0.05,0,18638,136743,18638,87482,6837,18638
21,81,0.24,0.18,1,0.05,0,13105,136743,13105,87482,6837,13105
22,82,0.06,0.06,1,0.05,0,5003,136743,5003,87482,6837,5003
23,83,-0.23,-0.13,1,0.05,0,0,136743,0,87482,6837,0
24,84,-0.07,0,1,0.05,0,0,136743,0,87482,6837,0
25,85,0.09,0.09,1,0.05,0,0,136743,0,87482,6837,0
26,86,0.24,0.18,1,0.05,0,0,136743,0,87482,6837,0
27,87,0.06,0.06,1,0.05,0,0,136743,0,87482,6837,0
28,88,-0.23,-0.13,1,0.05,0,0,136743,0,87482,6837,0
29,89,-0.07,0,1,0.05,0,0,136743,0,87482,6837,0
30,90,0.09,0.09,1,0.05,0,0,136743,0,87482,6837,0