Year,Age,Returns,Interest,Schedule,Rollup,Withdrawal,Account,Benefit,Surrender,Income,Death Benefit
0,60,0,0,1,0,0.05,100000,100000,100000,0,100000
1,61,0.24,0.145,0.93,0.06,0.051,112310,118310,104448,0,112310
2,62,0.06,0.06,0.93,0.06,0.051,116499,124310,108344,0,116499
3,63,-0.23,-0.08,0.94,0.06,0.051,104511,130310,98240,0,104511
4,64,-0.07,0,0.95,0.06,0.051,101835,136310,96743,0,101835
5,65,0.09,0.09,0.96,0,0.051,101301,136310,97249,6952,101301
6,66,0.24,0.145,0.97,0,0.051,106294,136310,103105,6952,106294
7,67,0.06,0.06,1,0,0.051,102942,136310,102942,6952,102942
8,68,-0.23,-0.08,1,0,0.051,85000,136310,85000,6952,85000
9,69,-0.07,0,1,0,0.051,75417,136310,75417,6952,75417
10,70,0.09,0.09,1,0,0.051,72687,136310,72687,6952,72687
11,71,0.24,0.145,1,0,0.051,73729,136310,73729,6952,73729
12,72,0.06,0.06,1,0,0.051,68648,136310,68648,6952,68648
13,73,-0.23,-0.08,1,0,0.051,53686,136310,53686,6952,53686
14,74,-0.07,0,1,0,0.051,44319,136310,44319,6952,44319
15,75,0.09,0.09,1,0,0.051,39005,136310,39005,6952,39005
16,76,0.24,0.145,1,0,0.051,35395,136310,35395,6952,35395
17,77,0.06,0.06,1,0,0.051,28278,136310,28278,6952,28278
18,78,-0.23,-0.08,1,0,0.051,16825,136310,16825,6952,16825
19,79,-0.07,0,1,0,0.051,7712,136310,7712,6952,7712
20,80,0.09,0.09,1,0,0.051,0,136310,0,6952,0
21,81,0.24,0.145,1,0,0.051,0,136310,0,6952,0
22,82,0.06,0.06,1,0,0.051,0,136310,0,6952,0
23,83,-0.23,-0.08,1,0,0.051,0,136310,0,6952,0
24,84,-0.07,0,1,0,0.051,0,136310,0,6952,0
25,85,0.09,0.09,1,0,0.051,0,136310,0,6952,0
26,86,0.24,0.145,1,0,0.051,0,136310,0,6952,0
27,87,0.06,0.06,1,0,0.051,0,136310,0,6952,0
28,88,-0.23,-0.08,1,0,0.051,0,136310,0,6952,0
29,89,-0.07,0,1,0,0.051,0,136310,0,6952,0
30,90,0.09,0.09,1,0,0.051,0,136310,0,6952,0