Year,Age,Returns,Interest,Schedule,Rollup,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,0,100000,100000,0,100000
1,61,0.0706,0.0706,0.93,0,0.065,104276,96976,0,104276
2,62,-0.0154,0,0.93,0,0.065,101479,94376,0,101479
3,63,0.3411,0.27288,0.94,0,0.065,126048,118485,0,126048
4,64,0.2026,0.16208,0.95,0,0.065,142801,135661,0,142801
5,65,0.3101,0.24808,0.96,0,0.065,173884,166928,11302,173884
6,66,0.2667,0.21336,0.97,0,0.065,194480,188645,12641,194480
7,67,0.1953,0.15624,1,0,0.065,206568,206568,13427,206568
8,68,-0.1014,-0.0514,1,0,0.065,177137,177137,13427,177137
9,69,-0.1304,-0.0804,1,0,0.065,144924,144924,13427,144924
10,70,-0.2337,-0.1837,1,0,0.065,101374,101374,13427,101374
11,71,0.2638,0.21104,1,0,0.065,106312,106312,13427,106312
12,72,0.0899,0.0899,1,0,0.065,99453,99453,13427,99453
13,73,0.03,0.03,1,0,0.065,86299,86299,13427,86299
14,74,0.1362,0.115,1,0,0.065,80339,80339,13427,80339
15,75,0.0353,0.0353,1,0,0.065,67552,67552,13427,67552
16,76,-0.3849,-0.3349,1,0,0.065,30018,30018,13427,30018
17,77,0.2345,0.1876,1,0,0.065,21336,21336,13427,21336
18,78,0.1278,0.115,1,0,0.065,9755,9755,13427,9755
19,79,0,0,1,0,0.065,0,0,13427,0
20,80,0.1341,0.115,1,0,0.065,0,0,13427,0
21,81,0.296,0.2368,1,0,0.065,0,0,13427,0
22,82,0.1139,0.1139,1,0,0.065,0,0,13427,0
23,83,-0.0073,0,1,0,0.065,0,0,13427,0
24,84,0.0954,0.0954,1,0,0.065,0,0,13427,0
25,85,0.1942,0.15536,1,0,0.065,0,0,13427,0
26,86,-0.0624,-0.0124,1,0,0.065,0,0,13427,0
27,87,0.2888,0.23104,1,0,0.065,0,0,13427,0
28,88,0.1626,0.13008,1,0,0.065,0,0,13427,0
29,89,0.2689,0.21512,1,0,0.065,0,0,13427,0
30,90,-0.1944,-0.1444,1,0,0.065,0,0,13427,0